chainId,dexId,baseToken-symbol,quoteToken-symbol,priceUsd,priceNative,liquidity-usd,liquidity-base,liquidity-quote,fdv
ethereum,uniswap,WBTC,DAI,23322.030,23322.03060,175930,3.544,93268,4119768394.13
ethereum,uniswap,SYLO,WBTC,0.002242,0.00000009594,390413,87060260,8.353,22421982.95
ethereum,uniswap,XIDR,WBTC,0.00006647,0.000000002850,1114491,9219015563,21.51,4257949.59
ethereum,balancer,WBTC,DIGG,23373.28,5.7909,2639798,56.51,326.7,4128821910.37
ethereum,balancer,WBTC,graviAURA,23238.46,8657.5034,1970046,56.51,244647,4105006222.11
ethereum,uniswap,WBTC,USDC,23331.80,23331.8050,151026,3.236,75513,4121494999.55
ethereum,balancer,WBTC,CHZ,23307.92,158851.3011,568423,16.19,1302010,4117276614.65

ethereum,uniswap,VVV,WBTC,0.3957,0.00001695,6811,9199,0.1358,192830.22
ethereum,balancer,WBTC,COMP,23280.83,432.9683,565702,16.19,3510,4112490956.27
ethereum,uniswap,stETH,WETH,1662.070,0.9958,2676710,805.2,801.9,8391264465.91
ethereum,uniswap,stETH,WETH,1669.23,0.9928,437165,44.32,216,8427443353.84
ethereum,uniswap,stETH,USDC,1496.30,1496.3071,166,0.0915,28.93,7554369877.31
ethereum,uniswap,XTP,WBTC,0.01657,0.0000007094,671710,14502239,18.45,165083366.18
ethereum,uniswap,XTP,WETH,0.01668,0.000009998,58743,2203553,13.16,166164072.26
ethereum,uniswap,XTP,WETH,0.01648,0.000009878,4732,177903,1.078,164140537.89
ethereum,uniswap,XTP,WETH,0.01378,0.000008259,377,13687,0.113,137241657.97
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,WETH,1846.040,1.1061,20070361,7585,3635,2072831109.63
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,USDC,1844.50,1844.5098,14740089,2377,10355221,2071102225.7
ethereum,uniswap,wstETH,WETH,1845.50,1.1055,3434771,962.3,993.6,2072224762.94
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,LDO,wstETH,2.20,0.001194,155431,27664,51.15,2204800144.55
ethereum,sushiswap,wstETH,DAI,1840.96,1840.9624,57588,15.64,28794,2067119001.99
ethereum,sushiswap,wstETH,WETH,1817.66,1.09070,3885,1.068,1.165,2040962732.51
ethereum,balancer,wstETH,BAL,1842.63,256.2153,1,0.000281,0.006001,2064504841.09
